"","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","RPL_THEMES"
"1",22,"LOUISIANA","LA",22071,"Orleans",22071001600,"Census Tract 16, Orleans Parish, Louisiana",-999
"2",22,"LOUISIANA","LA",22071,"Orleans",22071014500,"Census Tract 145, Orleans Parish, Louisiana",-999
"3",22,"LOUISIANA","LA",22071,"Orleans",22071980000,"Census Tract 9800, Orleans Parish, Louisiana",-999
"4",22,"LOUISIANA","LA",22071,"Orleans",22071980100,"Census Tract 9801, Orleans Parish, Louisiana",-999
"5",22,"LOUISIANA","LA",22071,"Orleans",22071990000,"Census Tract 9900, Orleans Parish, Louisiana",-999
"6",22,"LOUISIANA","LA",22071,"Orleans",22071000100,"Census Tract 1, Orleans Parish, Louisiana",0.0557
"7",22,"LOUISIANA","LA",22071,"Orleans",22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",0.8271
"8",22,"LOUISIANA","LA",22071,"Orleans",22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",0.7773
"9",22,"LOUISIANA","LA",22071,"Orleans",22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",0.3384
"10",22,"LOUISIANA","LA",22071,"Orleans",22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",0.3377
"11",22,"LOUISIANA","LA",22071,"Orleans",22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",0.9403
"12",22,"LOUISIANA","LA",22071,"Orleans",22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",0.0641
"13",22,"LOUISIANA","LA",22071,"Orleans",22071000618,"Census Tract 6.18, Orleans Parish, Louisiana",0.4129
"14",22,"LOUISIANA","LA",22071,"Orleans",22071000701,"Census Tract 7.01, Orleans Parish, Louisiana",0.9117
"15",22,"LOUISIANA","LA",22071,"Orleans",22071000800,"Census Tract 8, Orleans Parish, Louisiana",0.7678
"16",22,"LOUISIANA","LA",22071,"Orleans",22071000901,"Census Tract 9.01, Orleans Parish, Louisiana",0.539
"17",22,"LOUISIANA","LA",22071,"Orleans",22071001100,"Census Tract 11, Orleans Parish, Louisiana",0.4762
"18",22,"LOUISIANA","LA",22071,"Orleans",22071001200,"Census Tract 12, Orleans Parish, Louisiana",0.2184
"19",22,"LOUISIANA","LA",22071,"Orleans",22071001402,"Census Tract 14.02, Orleans Parish, Louisiana",0.6945
"20",22,"LOUISIANA","LA",22071,"Orleans",22071001701,"Census Tract 17.01, Orleans Parish, Louisiana",0.8922
"21",22,"LOUISIANA","LA",22071,"Orleans",22071001720,"Census Tract 17.20, Orleans Parish, Louisiana",0.8214
"22",22,"LOUISIANA","LA",22071,"Orleans",22071001722,"Census Tract 17.22, Orleans Parish, Louisiana",0.95
"23",22,"LOUISIANA","LA",22071,"Orleans",22071001723,"Census Tract 17.23, Orleans Parish, Louisiana",0.6772
"24",22,"LOUISIANA","LA",22071,"Orleans",22071001724,"Census Tract 17.24, Orleans Parish, Louisiana",0.938
"25",22,"LOUISIANA","LA",22071,"Orleans",22071001730,"Census Tract 17.30, Orleans Parish, Louisiana",0.6625
"26",22,"LOUISIANA","LA",22071,"Orleans",22071001734,"Census Tract 17.34, Orleans Parish, Louisiana",0.2162
"27",22,"LOUISIANA","LA",22071,"Orleans",22071001735,"Census Tract 17.35, Orleans Parish, Louisiana",0.8014
"28",22,"LOUISIANA","LA",22071,"Orleans",22071001739,"Census Tract 17.39, Orleans Parish, Louisiana",0.6179
"29",22,"LOUISIANA","LA",22071,"Orleans",22071001741,"Census Tract 17.41, Orleans Parish, Louisiana",0.7527
"30",22,"LOUISIANA","LA",22071,"Orleans",22071001745,"Census Tract 17.45, Orleans Parish, Louisiana",0.8136
"31",22,"LOUISIANA","LA",22071,"Orleans",22071001746,"Census Tract 17.46, Orleans Parish, Louisiana",0.8308
"32",22,"LOUISIANA","LA",22071,"Orleans",22071001747,"Census Tract 17.47, Orleans Parish, Louisiana",0.0894
"33",22,"LOUISIANA","LA",22071,"Orleans",22071001748,"Census Tract 17.48, Orleans Parish, Louisiana",0.6645
"34",22,"LOUISIANA","LA",22071,"Orleans",22071001749,"Census Tract 17.49, Orleans Parish, Louisiana",0.8669
"35",22,"LOUISIANA","LA",22071,"Orleans",22071001750,"Census Tract 17.50, Orleans Parish, Louisiana",0.9411
"36",22,"LOUISIANA","LA",22071,"Orleans",22071001800,"Census Tract 18, Orleans Parish, Louisiana",0.3575
"37",22,"LOUISIANA","LA",22071,"Orleans",22071002300,"Census Tract 23, Orleans Parish, Louisiana",0.9711
"38",22,"LOUISIANA","LA",22071,"Orleans",22071002401,"Census Tract 24.01, Orleans Parish, Louisiana",0.4454
"39",22,"LOUISIANA","LA",22071,"Orleans",22071002402,"Census Tract 24.02, Orleans Parish, Louisiana",0.7114
